,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken,current_pred_,TP_allBFNHOLdataset,TN_allBFNHOLdataset,FN_allBFNHOLdataset,FP_allBFNHOLdataset,TP_allBFHOLdataset,TN_allBFHOLdataset,FN_allBFHOLdataset,FP_allBFHOLdataset,TP_allBFJointEthnicitydataset,TN_allBFJointEthnicitydataset,FN_allBFJointEthnicitydataset,FP_allBFJointEthnicitydataset,TP_allWFNHOLdataset,TN_allWFNHOLdataset,FN_allWFNHOLdataset,FP_allWFNHOLdataset,TP_allWFHOLdataset,TN_allWFHOLdataset,FN_allWFHOLdataset,FP_allWFHOLdataset,TP_allWFJointEthnicitydataset,TN_allWFJointEthnicitydataset,FN_allWFJointEthnicitydataset,FP_allWFJointEthnicitydataset,TP_allJointRaceFemaleNHOLdataset,TN_allJointRaceFemaleNHOLdataset,FN_allJointRaceFemaleNHOLdataset,FP_allJointRaceFemaleNHOLdataset,TP_allJointRaceFemaleHOLdataset,TN_allJointRaceFemaleHOLdataset,FN_allJointRaceFemaleHOLdataset,FP_allJointRaceFemaleHOLdataset,TP_allJointRaceFemaleJointEthnicitydataset,TN_allJointRaceFemaleJointEthnicitydataset,FN_allJointRaceFemaleJointEthnicitydataset,FP_allJointRaceFemaleJointEthnicitydataset,TP_allBMNHOLdataset,TN_allBMNHOLdataset,FN_allBMNHOLdataset,FP_allBMNHOLdataset,TP_allBMHOLdataset,TN_allBMHOLdataset,FN_allBMHOLdataset,FP_allBMHOLdataset,TP_allBMJointEthnicitydataset,TN_allBMJointEthnicitydataset,FN_allBMJointEthnicitydataset,FP_allBMJointEthnicitydataset,TP_allWMNHOLdataset,TN_allWMNHOLdataset,FN_allWMNHOLdataset,FP_allWMNHOLdataset,TP_allWMHOLdataset,TN_allWMHOLdataset,FN_allWMHOLdataset,FP_allWMHOLdataset,TP_allWMJointEthnicitydataset,TN_allWMJointEthnicitydataset,FN_allWMJointEthnicitydataset,FP_allWMJointEthnicitydataset,TP_allJointRaceMaleNHOLdataset,TN_allJointRaceMaleNHOLdataset,FN_allJointRaceMaleNHOLdataset,FP_allJointRaceMaleNHOLdataset,TP_allJointRaceMaleHOLdataset,TN_allJointRaceMaleHOLdataset,FN_allJointRaceMaleHOLdataset,FP_allJointRaceMaleHOLdataset,TP_allJointRaceMaleJointEthnicitydataset,TN_allJointRaceMaleJointEthnicitydataset,FN_allJointRaceMaleJointEthnicitydataset,FP_allJointRaceMaleJointEthnicitydataset,TP_allJointSexBlacksNHOLdataset,TN_allJointSexBlacksNHOLdataset,FN_allJointSexBlacksNHOLdataset,FP_allJointSexBlacksNHOLdataset,TP_allJointSexBlacksHOLdataset,TN_allJointSexBlacksHOLdataset,FN_allJointSexBlacksHOLdataset,FP_allJointSexBlacksHOLdataset,TP_allJointSexBlacksJointEthnicitydataset,TN_allJointSexBlacksJointEthnicitydataset,FN_allJointSexBlacksJointEthnicitydataset,FP_allJointSexBlacksJointEthnicitydataset,TP_allJointSexWhitesNHOLdataset,TN_allJointSexWhitesNHOLdataset,FN_allJointSexWhitesNHOLdataset,FP_allJointSexWhitesNHOLdataset,TP_allJointSexWhitesHOLdataset,TN_allJointSexWhitesHOLdataset,FN_allJointSexWhitesHOLdataset,FP_allJointSexWhitesHOLdataset,TP_allJointSexWhitesJointEthnicitydataset,TN_allJointSexWhitesJointEthnicitydataset,FN_allJointSexWhitesJointEthnicitydataset,FP_allJointSexWhitesJointEthnicitydataset,TP_allJointSexJointRaceNHOLdataset,TN_allJointSexJointRaceNHOLdataset,FN_allJointSexJointRaceNHOLdataset,FP_allJointSexJointRaceNHOLdataset,TP_allJointSexJointRaceHOLdataset,TN_allJointSexJointRaceHOLdataset,FN_allJointSexJointRaceHOLdataset,FP_allJointSexJointRaceHOLdataset,TP_allJointSexJointRaceJointEthnicitydataset,TN_allJointSexJointRaceJointEthnicitydataset,FN_allJointSexJointRaceJointEthnicitydataset,FP_allJointSexJointRaceJointEthnicitydataset
1692,1692,16940,4,1,1,0,0,2,1,31,2,2,2,2,75000,3,2,2,2,2,1,1,3,5,83,2,9,2,5,1,4,5,8,1,4,2,5,1,4,1,3,6,4,8555,17,76700,111,2040,2810,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4993,4993,99999,0,1,1,2,0,2,1,32,1,2,1,2,25000,3,2,1,2,2,1,1,3,5,39,8,8,2,2,1,1,5,5,1,1,1,2,1,1,1,1,6,9,2413,3,79700,81,658,1451,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,1369,99999,0,1,1,1,0,2,1,32,1,1111,1111,1111,75000,3,1111,1111,1111,1111,2,1,1111,1111,89,1111,1111,2,5,2,4,5,8,2,4,1,5,2,4,1111,1111,1111,3,3442,6,79700,121,1103,1724,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3261,3261,99999,0,1,1,0,0,2,1,32,1,2,2,2,85000,3,2,2,2,2,1,1,3,5,0,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,1,5170,30,79700,85,1416,2276,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1453,1453,16220,2,1,1,1,0,2,3,32,1,2,2,2,275000,3,2,2,2,2,1,1,3,5,56,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,2,1,4865,13,75800,106,1352,1802,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2152,2152,16220,0,1,1,0,1,2,1,32,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,25,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4791,12,75800,93,1272,1750,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,302,99999,0,1,1,0,0,2,1,1,1,2,2,2,305000,3,2,2,2,2,1,1,3,5,36,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,1,6919,3,79700,114,2321,3470,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2466,2466,16940,0,1,1,1,1,2,1,32,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,50,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2890,2890,16940,2,1,1,0,71,2,3,1,1,2,2,2,115000,2,2,2,2,2,1,1,3,5,45,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4344,45,76700,64,922,2286,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5308,5308,16220,0,1,1,2,0,2,1,1,1,1111,1111,1111,25000,2,1111,1111,1111,1111,2,1,1111,1111,65,1111,1111,2,2,2,2,5,5,2,2,1,2,2,2,1111,1111,1111,1111,6087,10,75800,100,1851,2487,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
